1,1,1,2025-04-01,1
2,2,2,2025-04-02,0
3,3,3,2025-04-03,1
4,4,4,2025-04-04,0
5,5,5,2025-04-05,1
6,6,6,2025-04-06,1
7,7,7,2025-04-07,0
8,8,8,2025-04-08,1
9,9,9,2025-04-09,1
10,10,10,2025-04-10,0
11,11,11,2025-04-11,1
12,12,12,2025-04-12,0
13,13,13,2025-04-13,1
14,14,14,2025-04-14,0
15,15,15,2025-04-15,1
16,16,16,2025-04-16,1
17,17,17,2025-04-17,0
18,18,18,2025-04-18,1
19,19,19,2025-04-19,0
20,20,20,2025-04-20,1
21,21,21,2025-04-21,0
22,22,22,2025-04-22,1
23,23,23,2025-04-23,0
24,24,24,2025-04-24,1
25,25,25,2025-04-25,0
26,26,26,2025-04-26,1
27,27,27,2025-04-27,0
28,28,28,2025-04-28,1
29,29,29,2025-04-29,0
30,30,30,2025-04-30,1
31,31,31,2025-05-01,0
32,32,32,2025-05-02,1
33,33,33,2025-05-03,0
34,34,34,2025-05-04,1
35,35,35,2025-05-05,0
36,36,36,2025-05-06,1
37,37,37,2025-05-07,0
38,38,38,2025-05-08,1
39,39,39,2025-05-09,0
40,40,40,2025-05-10,1
41,41,41,2025-05-11,0
42,42,42,2025-05-12,1
43,43,43,2025-05-13,0
44,44,44,2025-05-14,1
45,45,45,2025-05-15,0
46,46,46,2025-05-16,1
47,47,47,2025-05-17,0
48,48,48,2025-05-18,1
49,49,49,2025-05-19,0
50,50,50,2025-05-20,1
